"Level","Accumulated Ad LTV","Banner Ad LTV","Interstitial Ad LTV","Rewarded Ad LTV","App Open Ad LTV","MREC Ad LTV","Rewarded Interstitial Ad LTV","Native Ads Ad LTV","Audio Ads Ad LTV","Collapsible Banner Ad LTV","In-game Ad LTV","RPM (eCPM)","Ad LTV","Banner Impressions per User","Accumulated Banner LTV","Accumulated Banner Impressions per User","Accumulated Banner Impressions","Banner Revenue per User","Banner Impressions","Banner Engaged Users","Banner RPM (eCPM)","Interstitial Impressions per User","Accumulated Interstitial LTV","Accumulated Interstitial Impressions per User","Accumulated Interstitial Impressions","Interstitial Revenue per User","Interstitial Impressions","Interstitial Engaged Users","Interstitial RPM (eCPM)","Rewarded Impressions per User","Accumulated Rewarded LTV","Accumulated Rewarded Impressions per User","Accumulated Rewarded Impressions","Rewarded Revenue per User","Rewarded Impressions","Rewarded Engaged Users","Rewarded RPM (eCPM)","App Open Impressions per User","Accumulated App Open LTV","Accumulated App Open Impressions per User","Accumulated App Open Impressions","App Open Revenue per User","App Open Impressions","App Open Engaged Users","App Open RPM (eCPM)","MREC Impressions per User","Accumulated MREC LTV","Accumulated MREC Impressions per User","Accumulated MREC Impressions","MREC Revenue per User","MREC Impressions","MREC Engaged Users","MREC RPM (eCPM)","Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial LTV","Accumulated Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial Impressions","Rewarded Interstitial Revenue per User","Rewarded Interstitial Impressions","Rewarded Interstitial Engaged Users","Rewarded Interstitial RPM (eCPM)","Native Ads Impressions per User","Accumulated Native Ads LTV","Accumulated Native Ads Impressions per User","Accumulated Native Ads Impressions","Native Ads Revenue per User","Native Ads Impressions","Native Ads Engaged Users","Native Ads RPM (eCPM)","Audio Ads Impressions per User","Accumulated Audio Ads LTV","Accumulated Audio Ads Impressions per User","Accumulated Audio Ads Impressions","Audio Ads Revenue per User","Audio Ads Impressions","Audio Ads Engaged Users","Audio Ads RPM (eCPM)","Collapsible Banner Impressions per User","Accumulated Collapsible Banner LTV","Accumulated Collapsible Banner Impressions per User","Accumulated Collapsible Banner Impressions","Collapsible Banner Revenue per User","Collapsible Banner Impressions","Collapsible Banner Engaged Users","Collapsible Banner RPM (eCPM)","In-game Impressions per User","Accumulated In-game LTV","Accumulated In-game Impressions per User","Accumulated In-game Impressions","In-game Revenue per User","In-game Impressions","In-game Engaged Users","In-game RPM (eCPM)"
"60","$1.069","$0.016","$0.018","$0.042","","","","","","","","$1.183","$0.076","79.09","$0.155","459","1,002,917","$0.021","19,694","249","$0.261","1.97","$0.453","22.96","50,174","$0.022","540","274","$10.939","2.77","$0.46","16.85","36,812","$0.054","701","253","$19.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","$1.079","$0.009","$0.016","$0.046","","","","","","","","$1.979","$0.071","42.55","$0.157","463.71","1,013,215","$0.012","10,298","242","$0.285","1.66","$0.455","23.16","50,603","$0.019","429","259","$11.719","2.26","$0.467","17.13","37,433","$0.053","621","275","$23.339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","$1.086","$0.009","$0.017","$0.023","","","","","","","","$1.513","$0.049","38.77","$0.158","467.95","1,022,481","$0.012","9,266","239","$0.307","1.54","$0.458","23.33","50,975","$0.021","372","242","$13.811","1.99","$0.47","17.31","37,819","$0.037","386","194","$18.596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","$1.094","$0.008","$0.015","$0.038","","","","","","","","$1.948","$0.06","36.92","$0.159","471.86","1,031,009","$0.01","8,528","231","$0.267","1.43","$0.46","23.49","51,323","$0.019","348","243","$13.08","2.29","$0.476","17.53","38,302","$0.054","483","211","$23.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","$1.106","$0.012","$0.021","$0.054","","","","","","","","$1.7","$0.088","61.64","$0.161","478.18","1,044,817","$0.016","13,808","224","$0.256","2.16","$0.463","23.73","51,840","$0.026","517","239","$12.072","3.23","$0.483","17.87","39,051","$0.068","749","232","$21.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","$1.112","$0.008","$0.015","$0.026","","","","","","","","$1.346","$0.049","43.79","$0.162","482.53","1,054,320","$0.011","9,503","217","$0.248","1.67","$0.464","23.89","52,201","$0.02","361","216","$11.699","2.08","$0.486","18.07","39,474","$0.036","423","203","$17.199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","$1.117","$0.006","$0.015","$0.018","","","","","","","","$1.48","$0.039","31.55","$0.162","485.57","1,060,978","$0.008","6,658","211","$0.251","1.47","$0.466","24.03","52,509","$0.02","308","209","$13.552","1.7","$0.488","18.2","39,766","$0.028","292","172","$16.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","$1.121","$0.005","$0.013","$0.012","","","","","","","","$1.293","$0.03","28.69","$0.163","488.21","1,066,745","$0.007","5,767","201","$0.249","1.38","$0.468","24.16","52,791","$0.017","282","205","$12.103","1.58","$0.49","18.29","39,967","$0.025","201","127","$16.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","$1.125","$0.006","$0.012","$0.017","","","","","","","","$1.172","$0.034","36.06","$0.164","491.53","1,073,993","$0.007","7,248","201","$0.205","1.3","$0.469","24.29","53,063","$0.015","272","210","$11.64","1.74","$0.492","18.4","40,213","$0.032","246","141","$18.083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","$1.13","$0.006","$0.011","$0.021","","","","","","","","$1.333","$0.038","34.92","$0.164","494.66","1,080,838","$0.008","6,845","196","$0.218","1.39","$0.471","24.41","53,342","$0.014","279","201","$10.08","1.79","$0.494","18.53","40,494","$0.035","281","157","$19.809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","$1.136","$0.007","$0.015","$0.031","","","","","","","","$1.529","$0.053","41.22","$0.165","498.51","1,089,246","$0.009","8,408","204","$0.229","1.48","$0.472","24.55","53,646","$0.019","304","205","$13.086","2.11","$0.498","18.7","40,866","$0.045","372","176","$21.464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","$1.141","$0.006","$0.014","$0.024","","","","","","","","$1.711","$0.044","30.6","$0.166","501.26","1,095,244","$0.007","5,998","196","$0.243","1.35","$0.474","24.68","53,916","$0.018","270","200","$13.699","1.87","$0.501","18.84","41,163","$0.038","297","159","$20.456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","$1.149","$0.007","$0.019","$0.038","","","","","","","","$1.862","$0.064","42.22","$0.167","504.87","1,103,139","$0.01","7,895","187","$0.227","1.8","$0.476","24.84","54,271","$0.024","355","197","$13.526","2.23","$0.505","19.06","41,643","$0.045","480","215","$20.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","$1.154","$0.007","$0.012","$0.034","","","","","","","","$1.571","$0.053","40.81","$0.168","508.32","1,110,688","$0.009","7,549","185","$0.215","1.55","$0.478","24.98","54,582","$0.015","311","201","$9.545","2.21","$0.509","19.26","42,078","$0.043","435","197","$19.393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","$1.16","$0.006","$0.017","$0.025","","","","","","","","$1.747","$0.047","32.56","$0.168","511.04","1,116,614","$0.007","5,926","182","$0.224","1.42","$0.48","25.11","54,858","$0.02","276","194","$14.297","1.77","$0.512","19.37","42,322","$0.043","244","138","$24.542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","$1.168","$0.011","$0.021","$0.041","","","","","","","","$1.592","$0.073","54.92","$0.169","515.64","1,126,664","$0.014","10,050","183","$0.259","1.93","$0.482","25.28","55,228","$0.026","370","192","$13.69","2.85","$0.516","19.64","42,911","$0.048","589","207","$16.736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","$1.171","$0.006","$0.012","$0.016","","","","","","","","$1.329","$0.034","30.61","$0.17","518.14","1,132,144","$0.008","5,480","179","$0.255","1.37","$0.483","25.39","55,474","$0.015","246","179","$11.198","1.8","$0.518","19.74","43,134","$0.03","223","124","$16.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","$1.175","$0.006","$0.014","$0.017","","","","","","","","$1.323","$0.038","33.49","$0.171","520.92","1,138,205","$0.008","6,061","181","$0.239","1.46","$0.485","25.51","55,742","$0.018","268","183","$12.066","1.73","$0.52","19.85","43,379","$0.028","245","142","$16.387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","$1.181","$0.008","$0.015","$0.03","","","","","","","","$1.445","$0.053","43.48","$0.172","524.42","1,145,857","$0.011","7,652","176","$0.242","1.55","$0.486","25.64","56,030","$0.018","288","186","$11.937","2.17","$0.523","20.02","43,737","$0.041","358","165","$18.714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","$1.189","$0.011","$0.018","$0.049","","","","","","","","$1.492","$0.078","59.71","$0.173","529.34","1,156,605","$0.014","10,748","180","$0.236","1.95","$0.488","25.81","56,389","$0.022","359","184","$11.129","3.07","$0.528","20.29","44,342","$0.056","605","197","$18.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","$1.193","$0.008","$0.015","$0.026","","","","","","","","$1.304","$0.048","42.75","$0.173","532.66","1,163,873","$0.01","7,268","170","$0.228","1.54","$0.489","25.93","56,659","$0.018","270","175","$11.482","2.04","$0.531","20.46","44,715","$0.03","373","183","$14.897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","$1.198","$0.008","$0.013","$0.027","","","","","","","","$1.285","$0.048","42.61","$0.174","535.94","1,171,032","$0.01","7,159","168","$0.225","1.48","$0.491","26.05","56,913","$0.016","254","172","$10.824","2.28","$0.533","20.65","45,110","$0.033","395","173","$14.371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","$1.201","$0.007","$0.011","$0.017","","","","","","","","$1.083","$0.034","36.93","$0.175","538.7","1,177,052","$0.008","6,020","163","$0.228","1.38","$0.492","26.15","57,147","$0.013","234","170","$9.468","1.89","$0.535","20.76","45,356","$0.027","246","130","$14.034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","$1.204","$0.005","$0.012","$0.016","","","","","","","","$1.218","$0.033","32.36","$0.175","541.04","1,182,165","$0.007","5,113","158","$0.207","1.32","$0.493","26.26","57,371","$0.015","224","170","$11.014","1.71","$0.536","20.86","45,587","$0.024","231","135","$14.093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","$1.206","$0.005","$0.01","$0.006","","","","","","","","$1.008","$0.022","25.62","$0.176","542.87","1,186,161","$0.006","3,996","156","$0.235","1.28","$0.494","26.35","57,579","$0.013","208","163","$10.144","1.31","$0.537","20.91","45,679","$0.018","92","70","$13.916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","$1.209","$0.005","$0.011","$0.012","","","","","","","","$1.123","$0.028","29.25","$0.176","544.99","1,190,811","$0.007","4,650","159","$0.224","1.29","$0.495","26.45","57,783","$0.014","204","158","$11.094","1.67","$0.538","20.98","45,836","$0.025","157","94","$14.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","$1.211","$0.004","$0.011","$0.009","","","","","","","","$1.157","$0.025","25.76","$0.177","546.82","1,194,804","$0.006","3,993","155","$0.222","1.33","$0.496","26.55","58,005","$0.014","222","167","$10.406","1.52","$0.539","21.03","45,959","$0.023","123","81","$14.846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","$1.216","$0.008","$0.013","$0.03","","","","","","","","$1.365","$0.051","42.79","$0.177","549.94","1,201,608","$0.01","6,804","159","$0.226","1.51","$0.497","26.67","58,266","$0.015","261","173","$9.649","2.29","$0.542","21.21","46,337","$0.037","378","165","$16.154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","$1.219","$0.008","$0.014","$0.017","","","","","","","","$1.165","$0.039","40","$0.178","552.75","1,207,768","$0.01","6,160","154","$0.251","1.47","$0.498","26.78","58,508","$0.017","242","165","$11.297","1.76","$0.543","21.31","46,571","$0.026","234","133","$14.765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","$1.223","$0.008","$0.013","$0.018","","","","","","","","$1.182","$0.039","38.26","$0.179","555.52","1,213,813","$0.01","6,045","158","$0.252","1.44","$0.499","26.89","58,744","$0.016","236","164","$11.108","1.74","$0.545","21.42","46,801","$0.027","230","132","$15.439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","$1.227","$0.009","$0.012","$0.025","","","","","","","","$1.035","$0.046","52.83","$0.18","559.24","1,221,949","$0.012","8,136","154","$0.224","1.53","$0.501","27","58,990","$0.015","246","161","$9.641","2.18","$0.547","21.56","47,117","$0.033","316","145","$15.218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","$1.23","$0.009","$0.013","$0.017","","","","","","","","$1.03","$0.038","43.16","$0.18","562.35","1,228,725","$0.011","6,776","157","$0.249","1.56","$0.502","27.11","59,227","$0.017","237","152","$10.659","1.78","$0.548","21.67","47,339","$0.026","222","125","$14.574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","$1.233","$0.006","$0.01","$0.01","","","","","","","","$1.003","$0.025","28.99","$0.181","564.4","1,233,219","$0.007","4,494","155","$0.243","1.25","$0.503","27.2","59,429","$0.012","202","161","$9.546","1.56","$0.549","21.73","47,479","$0.02","140","90","$13.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","$1.236","$0.008","$0.01","$0.02","","","","","","","","$1.108","$0.038","40.54","$0.182","567.19","1,239,300","$0.01","6,081","150","$0.258","1.35","$0.503","27.29","59,633","$0.013","204","151","$9.687","2.01","$0.551","21.86","47,765","$0.026","286","142","$13.073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","$1.238","$0.006","$0.01","$0.011","","","","","","","","$1.11","$0.027","28.75","$0.182","569.11","1,243,498","$0.007","4,198","146","$0.258","1.3","$0.504","27.38","59,825","$0.013","192","148","$10.02","1.72","$0.552","21.93","47,927","$0.022","162","94","$12.605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","$1.242","$0.009","$0.013","$0.024","","","","","","","","$1.221","$0.046","44.75","$0.183","572.08","1,249,987","$0.012","6,489","145","$0.264","1.55","$0.505","27.49","60,072","$0.015","247","159","$9.612","2.31","$0.554","22.08","48,255","$0.032","328","142","$13.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","$1.245","$0.006","$0.01","$0.018","","","","","","","","$1.425","$0.034","28.94","$0.183","573.93","1,254,038","$0.008","4,051","140","$0.261","1.23","$0.506","27.58","60,263","$0.012","191","155","$9.909","1.69","$0.556","22.2","48,499","$0.024","244","144","$14.111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","$1.249","$0.007","$0.011","$0.028","","","","","","","","$1.357","$0.045","40.83","$0.184","576.51","1,259,672","$0.009","5,634","138","$0.223","1.34","$0.507","27.68","60,473","$0.012","210","157","$9.299","2.08","$0.558","22.34","48,815","$0.034","316","152","$16.305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","$1.252","$0.006","$0.01","$0.017","","","","","","","","$1.205","$0.032","32.31","$0.184","578.58","1,264,196","$0.007","4,524","140","$0.228","1.25","$0.508","27.76","60,660","$0.012","187","150","$9.591","1.85","$0.559","22.43","49,002","$0.03","187","101","$16.454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","$1.255","$0.008","$0.011","$0.016","","","","","","","","$0.888","$0.035","48.86","$0.185","581.67","1,270,939","$0.01","6,743","138","$0.21","1.6","$0.509","27.87","60,890","$0.014","230","144","$8.826","1.85","$0.561","22.51","49,187","$0.029","185","100","$15.718","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","$1.258","$0.006","$0.013","$0.022","","","","","","","","$1.272","$0.041","38.41","$0.185","584.09","1,276,239","$0.008","5,300","138","$0.205","1.46","$0.51","27.96","61,103","$0.016","213","146","$11.177","1.91","$0.562","22.62","49,434","$0.03","247","129","$15.625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
